时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘,总得分,是否大分
2018/1/21 19:35,天津滨海云商,深圳马可波罗,97,108,42,44,-12.5,220.5,205,NO
2018/1/21 20:00,新疆喀什古城,江苏肯帝亚,139,119,72,61,6.5,211.5,258,YES
2018/1/23 19:35,江苏肯帝亚,八一双鹿电池,110,92,56,43,17.5,196.5,202,YES
2018/1/23 19:35,北京首钢,九台农商银行,108,92,55,47,11.5,212.5,200,NO
2018/1/23 19:35,山东高速,四川品胜,126,100,64,50,17.5,224.5,226,YES
2018/1/23 19:35,广东东莞银行,青岛国信双星,119,104,56,44,16.5,213.5,223,YES
2018/1/23 20:00,新疆喀什古城,南京同曦,125,108,75,66,14.5,223.5,233,YES
2018/1/24 19:35,福建SBS,浙江稠州银行,117,124,56,59,3.5,217.5,241,YES
2018/1/24 19:35,天津滨海云商,广州证券,131,126,66,60,-10.5,226.5,257,YES
2018/1/24 19:35,浙江广厦控股,上海哔哩哔哩,113,105,55,57,15.5,220.5,218,NO
2018/1/24 19:35,山西汾酒股份,深圳马可波罗,127,120,60,71,-4.5,218.5,247,YES
2018/1/24 19:35,北京农商银行,辽宁本钢,90,116,36,63,-7,211.5,206,NO
2018/1/25 19:35,南京同曦,八一双鹿电池,126,101,61,47,12,200.5,227,YES
2018/1/25 19:35,青岛国信双星,四川品胜,121,100,55,50,8.5,223.5,221,NO
2018/1/25 19:35,山东高速,新疆喀什古城,116,105,63,55,9.5,227.5,221,NO
2018/1/26 19:35,九台农商银行,福建SBS,104,133,49,74,-5.5,232.5,237,YES
2018/1/26 19:35,北京首钢,辽宁本钢,96,87,54,39,-5.5,200.5,183,NO
2018/1/26 19:35,深圳马可波罗,北京农商银行,115,93,58,44,14.5,211.5,208,NO
2018/1/26 19:35,江苏肯帝亚,浙江广厦控股,113,124,48,53,-5.5,218.5,237,YES
2018/1/26 19:35,浙江稠州银行,上海哔哩哔哩,85,103,43,54,5.5,208.5,188,NO
2018/1/26 19:35,天津滨海云商,广东东莞银行,86,126,38,58,-13.5,212.5,212,NO
2018/1/26 19:35,山西汾酒股份,广州证券,123,117,62,55,3.5,236.5,240,YES
