时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘
2017-11-18 14:00,首尔三星雷电,首尔SK骑士,86,88,42,41,1,166.5
2017-11-18 16:00,高阳猎户座,全州宙斯盾,77,84,37,37,-6,169.5
2017-11-19 14:00,釜山KTF魔翼,昌原LG猎隼,62,70,40,34,1,160
2017-11-19 14:00,仁川黑色撞击者,原州东浦新世代,71,74,39,38,5,160.5
2017-11-19 16:00,安养人参,首尔SK骑士,82,97,25,47,-3.5,165.5
2017-11-28 18:00,釜山KTF魔翼,全州宙斯盾,77,79,43,36,-6,163.5
2017-11-29 18:00,高阳猎户座,蔚山现代太阳神,93,94,48,44,-3,166
2017-11-29 18:00,原州东浦新世代,首尔SK骑士,91,75,49,46,-4,168
2017-11-30 18:00,安养人参,釜山KTF魔翼,87,76,44,38,6.5,162
2017-11-30 18:00,首尔三星雷电,仁川黑色撞击者,81,77,38,46,2.5,162.5
2017-12-01 18:00,蔚山现代太阳神,原州东浦新世代,65,79,26,44,-2.5,160.5
2017-12-01 18:00,全州宙斯盾,昌原LG猎隼,82,78,39,34,6.5,163.5
2017-12-02 14:00,首尔三星雷电,安养人参,82,74,39,42,1.5,165.5
2017-12-02 14:00,高阳猎户座,釜山KTF魔翼,80,74,41,29,3,161.5
2017-12-02 16:00,首尔SK骑士,仁川黑色撞击者,73,82,38,51,4,162.5
2017-12-03 14:00,安养人参,蔚山现代太阳神,78,91,31,52,4.5,162.5
2017-12-03 14:00,昌原LG猎隼,高阳猎户座,87,65,43,34,4,160
2017-12-03 16:00,首尔三星雷电,原州东浦新世代,79,74,36,35,1,162
2017-12-05 18:00,首尔三星雷电,高阳猎户座,99,100,37,43,6.5,163.5
2017-12-05 18:00,昌原LG猎隼,原州东浦新世代,75,81,41,43,-3,158.5
2017-12-06 18:00,蔚山现代太阳神,釜山KTF魔翼,90,93,38,38,6,156.5
2017-12-06 18:00,首尔SK骑士,全州宙斯盾,94,81,46,47,2.5,165
2017-12-07 18:00,原州东浦新世代,仁川黑色撞击者,82,75,42,37,3,158.5
2017-12-07 18:00,昌原LG猎隼,安养人参,93,94,43,41,-3,162
2017-12-08 18:00,高阳猎户座,首尔SK骑士,87,94,39,44,-7.5,164
2017-12-08 18:00,釜山KTF魔翼,首尔三星雷电,88,78,44,38,6,158.5
2017-12-09 14:00,蔚山现代太阳神,安养人参,63,83,27,37,1,165
2017-12-09 14:00,全州宙斯盾,原州东浦新世代,82,76,42,27,3,162
2017-12-09 16:00,仁川黑色撞击者,昌原LG猎隼,82,68,32,34,4.5,158
2017-12-10 14:00,釜山KTF魔翼,安养人参,71,96,27,43,-4.5,159.5
2017-12-10 14:00,蔚山现代太阳神,高阳猎户座,82,72,48,30,5,159
2017-12-10 16:00,全州宙斯盾,仁川黑色撞击者,94,87,55,40,4,158.5
2017-12-12 18:00,全州宙斯盾,首尔三星雷电,84,75,42,41,8.5,165.5
2017-12-12 18:00,首尔SK骑士,原州东浦新世代,94,95,54,28,5,164
2017-12-13 18:00,昌原LG猎隼,釜山KTF魔翼,79,75,41,33,4,156.5
2017-12-13 18:00,安养人参,高阳猎户座,92,75,43,38,7.5,165.5
2017-12-14 18:00,首尔SK骑士,仁川黑色撞击者,92,87,33,29,4,162.5
2017-12-14 18:00,蔚山现代太阳神,首尔三星雷电,81,70,55,27,3,160
2017-12-15 18:00,全州宙斯盾,高阳猎户座,81,86,38,41,8.5,167
2017-12-15 18:00,安养人参,原州东浦新世代,81,73,35,36,2.5,162.5
2017-12-16 14:00,昌原LG猎隼,首尔三星雷电,77,88,42,41,4.5,159
2017-12-16 14:00,仁川黑色撞击者,蔚山现代太阳神,75,91,45,40,4,158.5
2017-12-16 16:00,釜山KTF魔翼,首尔SK骑士,99,103,52,53,-8,164
2017-12-17 14:00,原州东浦新世代,蔚山现代太阳神,82,89,33,41,4,160.5
2017-12-17 14:00,全州宙斯盾,昌原LG猎隼,78,84,42,30,7.5,162.5
2017-12-17 16:00,釜山KTF魔翼,高阳猎户座,79,88,43,38,-2,163
2017-12-19 18:00,仁川黑色撞击者,首尔三星雷电,91,98,43,48,4,160.5
2017-12-19 18:00,安养人参,首尔SK骑士,86,74,38,38,-2.5,170
2017-12-20 18:00,昌原LG猎隼,高阳猎户座,83,72,49,32,3.5,162
2017-12-20 18:00,全州宙斯盾,釜山KTF魔翼,95,86,43,33,11,163.5
2017-12-21 18:00,蔚山现代太阳神,首尔SK骑士,67,59,32,29,-2.5,164.5
2017-12-21 18:00,原州东浦新世代,首尔三星雷电,84,76,30,38,4.5,164.5
2017-12-22 18:00,安养人参,仁川黑色撞击者,78,75,33,38,5.5,165
2017-12-23 14:00,昌原LG猎隼,首尔SK骑士,71,79,35,43,-4.5,159.5
2017-12-23 14:00,原州东浦新世代,高阳猎户座,93,86,47,40,6,163.5
2017-12-23 16:00,蔚山现代太阳神,全州宙斯盾,96,91,40,43,1,162.5
2017-12-24 14:00,原州东浦新世代,釜山KTF魔翼,108,83,56,43,7,160.5
2017-12-24 14:00,高阳猎户座,仁川黑色撞击者,79,97,34,49,-4,162.5
2017-12-24 16:00,安养人参,首尔三星雷电,97,81,48,33,5.5,162.5
2017-12-25 14:00,昌原LG猎隼,蔚山现代太阳神,81,91,38,46,-4,156
2017-12-25 14:00,仁川黑色撞击者,釜山KTF魔翼,87,73,51,37,8,162.5
2017-12-25 16:00,首尔SK骑士,首尔三星雷电,74,82,35,33,5.5,163.5
2017-12-25 16:00,全州宙斯盾,安养人参,95,94,38,38,2,169.5
2017-12-27 18:00,原州东浦新世代,昌原LG猎隼,83,76,29,35,5.5,161.5
